dayfox	true	#2848a9	#396847	#3d2b5a	#f6f2ee	#2848a9	#534c45	#534c45	#a5222f	#ac5402	#6e33ce	#f6f2ee	#e7e3df	#eeeae6
deep	false	#5665ff	#1cd915	#cdcdcd	#090909	#5665ff	#535353	#535353	#d70005	#d9bd26	#b052da	#090909	#171717	#101010
desert	false	#cd853f	#98fb98	#ffffff	#333333	#cd853f	#626262	#626262	#ff2b2b	#f0e68c	#ffdead	#333333	#3f3f3f	#393939
detuned	false	#0094d9	#a6e32d	#c7c7c7	#000000	#0094d9	#686868	#686868	#fe4386	#e6da73	#9b37ff	#000000	#0f0f0f	#070707
dimidium	false	#0575d8	#60b442	#bab7b6	#141414	#0575d8	#817e7e	#817e7e	#cf494c	#db9c11	#af5ed2	#141414	#222222	#1b1b1b
dimmed-monokai	false	#4f76a1	#879a3b	#b9bcba	#1f1f1f	#4f76a1	#888987	#888987	#be3f48	#c5a635	#855c8d	#1f1f1f	#2c2c2c	#252525
django	false	#315d3f	#41a83e	#f8f8f8	#0b2f20	#315d3f	#585858	#585858	#fd6209	#ffe862	#f8f8f8	#0b2f20	#193b2d	#123526
django-reborn-again	false	#245032	#41a83e	#dadedc	#051f14	#245032	#4c4c4c	#4c4c4c	#fd6209	#ffe862	#f8f8f8	#051f14	#142c22	#0c251b
django-smooth	false	#989898	#41a83e	#f8f8f8	#245032	#989898	#727272	#727272	#fd6209	#ffe862	#f8f8f8	#245032	#315a3e	#2a5538
doom-one	false	#a9a1e1	#98be65	#bbc2cf	#282c34	#a9a1e1	#595959	#595959	#ff6c6b	#ecbe7b	#c678dd	#282c34	#343840	#2e323a
doom-peacock	false	#2a6cc6	#26a6a6	#ede0ce	#2b2a27	#2a6cc6	#51504d	#51504d	#cb4b16	#bcd42a	#a9a1e1	#2b2a27	#373633	#31302d
dot-gov	false	#17b2e0	#3d9751	#ebebeb	#262c35	#17b2e0	#595959	#595959	#bf091d	#f6bb34	#7830b0	#262c35	#333841	#2c323b
dracula	false	#bd93f9	#50fa7b	#f8f8f2	#282a36	#bd93f9	#6272a4	#6272a4	#ff5555	#f1fa8c	#ff79c6	#282a36	#343642	#2e303c
dracula+	false	#82aaff	#50fa7b	#f8f8f2	#212121	#82aaff	#545454	#545454	#ff5555	#ffcb6b	#c792ea	#212121	#2e2e2e	#272727
duckbones	false	#00a3cb	#5dcd97	#ebefc0	#0e101a	#00a3cb	#444860	#444860	#e03600	#e39500	#795ccc	#0e101a	#1c1e27	#151720
duotone-dark	false	#ffc284	#2dcd73	#b7a1ff	#1f1d27	#ffc284	#4e4a60	#4e4a60	#d9393e	#d9b76e	#de8d40	#1f1d27	#2c2a33	#25232d
duskfox	false	#569fba	#a3be8c	#e0def4	#232136	#569fba	#544d8a	#544d8a	#eb6f92	#f6c177	#c4a7e7	#232136	#302e42	#29273c
earthsong	false	#1398b9	#85c54c	#e5c7a9	#292520	#1398b9	#675f54	#675f54	#c94234	#f5ae2e	#d0633d	#292520	#35322d	#2f2b26
electron-highlighter	false	#77abff	#00ffc3	#a5b6d4	#23283d	#77abff	#4a6789	#4a6789	#ff6c8d	#ffd7a9	#daa4f4	#23283d	#303448	#292e42
elegant	false	#8dabe1	#85cc95	#ced2d6	#292b31	#8dabe1	#575656	#575656	#ff0257	#ffcb8b	#c792eb	#292b31	#35373d	#2f3137
elemental	false	#497f7d	#479a43	#807a74	#22211d	#497f7d	#555445	#555445	#98290f	#7f7111	#7f4e2f	#22211d	#2f2e2a	#282723
elementary	false	#134899	#5aa513	#efefef	#181818	#134899	#4b4b4b	#4b4b4b	#d71c15	#fdb40c	#e40038	#181818	#252525	#1e1e1e
embark	false	#57c7ff	#a1efd3	#eeffff	#1e1c31	#57c7ff	#585273	#585273	#f0719b	#ffe9aa	#c792ea	#1e1c31	#2b293d	#242237
embers-dark	false	#6d5782	#57826d	#a39a90	#16130f	#6d5782	#5a5047	#5a5047	#826d57	#6d8257	#82576d	#16130f	#23211d	#1c1a16
encom	false	#0081ff	#008b00	#00a595	#000000	#0081ff	#555555	#555555	#9f0000	#ffd000	#bc00ca	#000000	#0f0f0f	#070707
espresso	false	#6c99bb	#a5c261	#ffffff	#323232	#6c99bb	#606060	#606060	#d25252	#ffc66d	#d197d9	#323232	#3e3e3e	#383838
espresso-libre	false	#0066ff	#1a921c	#b8a898	#2a211c	#0066ff	#555753	#555753	#cc0000	#f0e53a	#c5656b	#2a211c	#362e29	#302722
everblush	false	#67b0e8	#8ccf7e	#dadada	#141b1e	#67b0e8	#464e50	#464e50	#e57474	#e5c76b	#c47fd5	#141b1e	#22282b	#1b2124
everforest-dark-hard	false	#7fbbb3	#a7c080	#d3c6aa	#1e2326	#7fbbb3	#a6b0a0	#a6b0a0	#e67e80	#dbbc7f	#d699b6	#1e2326	#2b3033	#24292c
